id,Title,tags
1108,Clean Sex,mariana ha an obsess clean habit. after start a troubl relationship with enrique. she must accept that sex is dirti and impulsive. comedi
1109,Barbie and the Magic of Pegasus 3-D,"princess annika (barbie) escap the clutch of the evil wizard, explor the wonder of cloud kingdom, and team up with a magnific wing hors - who turn out to be her sister, princess brietta - to defeat the wizard and break the spell that imprison her family. anim famili romanc"
1110,Bruce Almighty,"bruce nolan toil as a 'human interest' televis report in buffalo, n.y., but despit hi high rate and the love of hi beauti girlfriend, bruce remain unfulfilled. at the end of the worst day in hi life, he angrili ridicul godâ€”and the almighti responds, endow bruce with all of hi divin powers. fantasi comedi"
1111,Drag Me to Hell,"after deni a woman the extens she need to keep her home, loan offic christin brown see her once-promis life take a startl turn for the worse. christin is convinc she' been curs by a gypsy, but her boyfriend is skeptical. her onli hope seem to lie in a psychic who claim he can help her lift the curs and keep her soul from be drag straight to hell. horror thriller"
1112,Looper,"in the futurist action thriller looper, time travel will be invent but it will be illeg and onli avail on the black market. when the mob want to get rid of someone, they will send their target 30 year into the past where a looper, a hire gun, like joe is wait to mop up. joe is get rich and life is good until the day the mob decid to close the loop, send back joe' futur self for assassination. action thriller sciencefict"
1113,1000 Miles From Christmas,"an auditor who complet despis christma is sent to a small town for work, where he meet a woman determin to chang hi view about the holiday. comedi romanc"
1114,Samson,"after lose the love of hi life to a cruel philistin prince, a young hebrew with supernatur strength defend hi people, sacrif everyth to aveng hi love, hi people, and hi god. action drama adventur"
1115,Shooter,"a marksman live in exil is coax back into action after learn of a plot to kill the president. ultim double-cross and frame for the attempt, he goe on the run to track the real killer and find out who exactli set him up, and why?? action drama mysteri thriller crime"
1116,Space Pirate Captain Harlock,space pirat captain harlock and hi fearless crew face off against the space invad who seek to conquer the planet earth. anim sciencefict
1117,Ocean's Twelve,"danni ocean reunit with hi old flame and the rest of hi merri band of thiev in carri out three huge heist in rome, pari and amsterdam â€“ but a europol agent is hot on their heels. thriller crime"
1118,When Marnie Was There,"upon be sent to live with rel in the countrysid due to an illness, an emot distant adolesc girl becom obsess with an abandon mansion and infatu with a girl who live there - a girl who may or may not be real. anim drama"
1119,Green Lantern: Emerald Knights,"as the home planet of the green lantern corp face a battl with an ancient enemy, hal jordan prepar new recruit arisia for the come conflict by relat stori of the first green lantern and sever of hal' comrades. action adventur anim sciencefict drama"
1120,Annihilation,"a biologist sign up for a dangerous, secret expedit into a mysteri zone where the law of natur don't apply. sciencefict horror"
1121,Pocahontas,"pocahontas, daughter of a nativ american tribe chief, fall in love with an english soldier as colonist invad 17th centuri virginia. adventur anim famili romanc"
1122,Porno,"when a group of naiv teen work at a movi theater in a small christian town discov a mysteri film hidden in it basement, they unleash an allur succubu who give them a sex educationâ€¦written in blood. comedi horror"
1123,What Happened to Monday,"in a world where famili are limit to one child due to overpopulation, a set of ident septuplet must avoid be put to a long sleep by the govern and danger infight while investig the disappear of one of their own. sciencefict thriller drama mysteri"
1124,Latte and the Magic Waterstone,"when a greedi bear steal a magic stone to keep the forestâ€™ water for himself, a brave hedgehog and a timid squirrel must work togeth to retriev it. anim adventur famili comedi"
1125,Piranha 3D,"each year the popul of sleepi lake victoria, arizona explod from 5,000 to 50,000 resid for the annual spring break celebration. but then, an earthquak open an underwat chasm, releas an enorm swarm of ancient piranha that have been dormant for thousand of years, now with a tast for human flesh. thi year, there' someth more to worri about than the usual hangov and complaint from locals, a new type of terror is about to be cut loos on lake victoria. comedi horror"
1126,The Cabin in the Woods,"five colleg friend spend the weekend at a remot cabin in the woods, where they get more than they bargain for. together, they must discov the truth behind the cabin in the woods. horror comedi fantasi thriller"
1127,Sword Art Online the Movie -Progressive- Aria of a Starless Night,"one month after kayaba akihiko' game of death began, the death toll continu to rise, two thousand player have alreadi lost their live to the ultra-difficult vrmmo world of sword art online. on the day of the strategi meet to plan out the first-floor boss battle, kirito, a solo player who vow to fight alon to get stronger, run into a rare, high-level femal player. she grace dispatch power monster with a singl rapier that flash like a shoot star in the night... anim action fantasi sciencefict"
1128,Friday the 13th,camp counselor are stalk and murder by an unknown assail while tri to reopen a summer camp that wa the site of a child' drowning. horror
1129,Sex Doll,"set in london' world of high class call girls, amoureux solitair tell the stori of london base french escort virginie, and rupert, a man who rescu traffick girls. drama thriller mysteri"
1130,Astro Boy,"set in the futurist metro city, astro boy (atom) is a young robot with incred power creat by a brilliant scientist in the imag of the son he had lost. unabl to fulfil hi creator' expectations, astro embark on a journey in search of acceptance, experienc betray and a netherworld of robot gladiators, befor return to save metro citi and reconcil with the father who reject him. anim action famili sciencefict"
1131,Sounds Like Love,"fashion assist maca ha just about got her life togeth after a devast breakup, when leo, the man who broke her heart returns. seek support from best friends, adriana and jime, all three will learn love can be complicated. comedi romanc"
1132,Terminator 3: Rise of the Machines,"it' been 10 year sinc john connor save earth from judgment day, and he' now live under the radar, steer clear of use anyth skynet can trace. that is, until he encount t-x, a robot assassin order to finish what t-1000 started. good thing connor' former nemesis, the terminator, is back to aid the now-adult connor â€¦ just like he promised. action thriller sciencefict"
1133,Re:ZERO -Starting Life in Another World- Memory Snow,"subaru and friend final get a moment of peace, and subaru goe on a certain secret mission that he must not let anyon find out about! however, even though subaru is wear a disguise, petra and other children of the villag immedi figur out who he is. now that hi mission wa expos within five second of it starting, what will happen with subaru' date course"""""""" with emilia?"""""""" anim adventur fantasi"
1134,So Undercover,"when the fbi hire her to go undercov at a colleg sorority, molli morri (miley cyrus) must transform herself from a tough, streetwis privat investig to a refined, sophist univers girl to help protect the daughter of a one-tim mobster. with sever suspect on her list, molli unexpectedli discov that not everyon is who they appear to be, includ herself. action comedi"
1135,Goosebumps,"after move to a small town, zach cooper find a silver line when he meet next door neighbor hannah, the daughter of bestsel goosebump seri author r.l. stine. when zach unintent unleash real monster from their manuscript and they begin to terror the town, itâ€™ suddenli up to stine, zach and hannah to get all of them back in the book where they belong. adventur horror comedi"
1136,The Evil Dead,"when a group of colleg student find a mysteri book and record in the old wilder cabin they'v rent for the weekend, they unwittingli unleash a demon forc from the surround forest. horror"
1137,The Bourne Legacy,new cia oper aaron cross experi life-or-death stake that have been trigger by the previou action of jason bourne. action thriller
1138,Little Women,four sister come of age in america in the aftermath of the civil war. drama romanc
1139,Lev Yashin. The Dream Goalkeeper,"an ordinari work class boy, like all hi peers, he play footbal day and night and dream of be a striker. but no matter which team he play for - in the yard, at the factory, or in the armi - he wa inevit put in goal. drama"
1140,Along with the Gods: The Two Worlds,"have die unexpectedly, firefight ja-hong is taken to the afterlif by 3 afterlif guardians. onli when he pass 7 trial over 49 day and prove he wa innoc in human life, heâ€™ abl to reincarnate, and hi 3 afterlif guardian are by hi side to defend him in trial. drama fantasi action"
1141,Bird Box,"five year after an omin unseen presenc drive most of societi to suicide, a survivor and her two children make a desper bid to reach safety. thriller drama sciencefict"
1142,Underworld,"vampir and werewolv have wage a nocturn war against each other for centuries. but all bet are off when a femal vampir warrior name selene, who' famou for her strength and werewolf-hunt prowess, becom smitten with a peace-lov male werewolf, michael, who want to end the war. fantasi action thriller"
1143,"Crazy, Stupid, Love.","cal weaver is live the american dream. he ha a good job, a beauti house, great children and a beauti wife, name emily. cal' seemingli perfect life unravels, however, when he learn that emili ha been unfaith and want a divorce. over 40 and suddenli single, cal is adrift in the fickl world of dating. enter, jacob palmer, a self-styl player who take cal under hi wing and teach him how to be a hit with the ladies. comedi drama romanc"
1144,"The Good, the Bad and the Ugly","while the civil war rage between the union and the confederacy, three men â€“ a quiet loner, a ruthless hit man and a mexican bandit â€“ comb the american southwest in search of a strongbox contain $200,000 in stolen gold. western"
1145,Mortal Kombat Legends: Scorpion's Revenge,"after the viciou slaughter of hi famili by stone-cold mercenari sub-zero, hanzo hasashi is exil to the tortur netherrealm. there, in exchang for hi servitud to the sinist quan chi, heâ€™ given a chanc to aveng hi famili â€“ and is resurrect as scorpion, a lost soul bent on revenge. back on earthrealm, lord raiden gather a team of elit warrior â€“ shaolin monk liu kang, special forc offic sonya blade and action star johnni cage â€“ an unlik band of hero with one chanc to save humanity. to do this, they must defeat shang tsungâ€™ hord of outworld gladiat and reign over the mortal kombat tournament. anim action fantasi"
1146,Superman/Batman: Apocalypse,"batman discov a mysteri teen-ag girl with superhuman power and a connect to superman. when the girl come to the attent of darkseid, the evil overlord of apokolips, event take a decidedli danger turn. sciencefict action adventur anim famili"
1147,The Amityville Harvest,"while stay at an age manor to research it liquor-smuggl history, christina and her documentari video team interview their spooki host vincentâ€”but no one can captur hi imag or voic on video. after shock dream and bloodi encounters, the crew member fall under victorâ€™ hypnot spell. horror"
1148,The Mortuary Collection,"in the phantasmagor town of raven' end, a misguid young girl take refug in a decrepit old mortuary. the eccentr undertak chronicl the strang histori of the town through a seri of twist tales, each more terrifi than the last, but the young girl' world is unhing when she discov that the final story... is her own. fantasi horror"
1149,Paranormal Activity: Tokyo Night,"koichi take care of hi sister, who ha recent return from a trip abroad in the unit state as she is not well. while care for her, he record evid of ghost in their home. horror thriller"
1150,Naruto: Legend of the Stone of Gelel,"naruto, shikamaru, and sakura are execut their mission of deliv a lost pet to a certain village. however, right in the midst of things, troop led by the mysteri knight, temujin, attack them. in the violent battle, the three becom separated. temujin challeng naruto to a fight and at the end of the fierc battle, both fall togeth from a high cliff... anim adventur fantasi"
1151,Justice League: War,"the world is under attack by an alien armada led by the power apokoliptian, darkseid. a group of superhero consist of superman, batman, wonder woman, the flash, green lantern, cyborg, and shazam must set asid their differ and gather togeth to defend earth. anim action"
1152,Wrong Turn 6: Last Resort,"a sudden and mysteri inherit bring danni and hi friend to hobb springs, a forgotten resort deep in the west virginia hills. hobb spring is be look after under the watch care of jackson and sally, a social awkward coupl who introduc danni to the long lost famili he' never known. a clan by the name of hillicker. but soon danni learn hi rel have a differ way of living, that for generations, the hillick have observ ancient tradit root in cannib and other taboo rituals. horror"
1153,Ben 10 Alien Swarm,ben and a mysteri girl from hi past must prevent an alien threat from destroy the world. adventur
1154,The Monkey King,"sun wukong is a monkey born from a heavenli stone who acquir supernatur powers. after rebel against heaven and be imprison under a mountain for 500 years, he later accompani the monk xuanzang on a journey to india. thus, accord to legend, buddhism is brought to ancient china. action adventur famili"
1155,Scooby-Doo! and the Reluctant Werewolf,"shaggi is turn into a werewolf, and it' up to scooby, scrappi and shaggy' girlfriend to help him win a race against other monsters, and becom human again. anim comedi famili mysteri tvmovi"
1156,Halo Legends,the univers of the halo video game seri is expand in seven short anim film from japan' greatest anim director and studios. anim war drama
1157,1917,"at the height of the first world war, two young british soldier must cross enemi territori and deliv a messag that will stop a deadli attack on hundr of soldiers. war drama action thriller"
1158,Dragonheart: Vengeance,"lukas, a young farmer whose famili is kill by savag raider in the countryside, set out on an epic quest for revenge, form an unlik trio with a majest dragon and a swashbuckling, sword-fight mercenary, darius. fantasi action adventur"
1159,Kakegurui: The Movie,"hyakkaou privat academy. an institut for the privileg with a veri peculiar curriculum. you see, when you'r the son and daughter of the wealthiest of the wealthy, it' not athlet prowess or book smart that keep you ahead. it' read your opponent, the art of the deal. what better way to hone those skill than with a rigor curriculum of gambling? at hyakkaou privat academy, the winner live like kings, and the loser are put through the wringer. but when yumeko jabami enrolls, she' gonna teach these kid what a high roller realli look like! drama mysteri thriller"
1160,Mortal Kombat Legends: Scorpion's Revenge,"after the viciou slaughter of hi famili by stone-cold mercenari sub-zero, hanzo hasashi is exil to the tortur netherrealm. there, in exchang for hi servitud to the sinist quan chi, heâ€™ given a chanc to aveng hi famili â€“ and is resurrect as scorpion, a lost soul bent on revenge. back on earthrealm, lord raiden gather a team of elit warrior â€“ shaolin monk liu kang, special forc offic sonya blade and action star johnni cage â€“ an unlik band of hero with one chanc to save humanity. to do this, they must defeat shang tsungâ€™ hord of outworld gladiat and reign over the mortal kombat tournament. anim action fantasi"
1161,Superman/Batman: Apocalypse,"batman discov a mysteri teen-ag girl with superhuman power and a connect to superman. when the girl come to the attent of darkseid, the evil overlord of apokolips, event take a decidedli danger turn. sciencefict action adventur anim famili"
1162,The Amityville Harvest,"while stay at an age manor to research it liquor-smuggl history, christina and her documentari video team interview their spooki host vincentâ€”but no one can captur hi imag or voic on video. after shock dream and bloodi encounters, the crew member fall under victorâ€™ hypnot spell. horror"
1163,The Mortuary Collection,"in the phantasmagor town of raven' end, a misguid young girl take refug in a decrepit old mortuary. the eccentr undertak chronicl the strang histori of the town through a seri of twist tales, each more terrifi than the last, but the young girl' world is unhing when she discov that the final story... is her own. fantasi horror"
1164,Paranormal Activity: Tokyo Night,"koichi take care of hi sister, who ha recent return from a trip abroad in the unit state as she is not well. while care for her, he record evid of ghost in their home. horror thriller"
1165,Naruto: Legend of the Stone of Gelel,"naruto, shikamaru, and sakura are execut their mission of deliv a lost pet to a certain village. however, right in the midst of things, troop led by the mysteri knight, temujin, attack them. in the violent battle, the three becom separated. temujin challeng naruto to a fight and at the end of the fierc battle, both fall togeth from a high cliff... anim adventur fantasi"
1166,Justice League: War,"the world is under attack by an alien armada led by the power apokoliptian, darkseid. a group of superhero consist of superman, batman, wonder woman, the flash, green lantern, cyborg, and shazam must set asid their differ and gather togeth to defend earth. anim action"
1167,Wrong Turn 6: Last Resort,"a sudden and mysteri inherit bring danni and hi friend to hobb springs, a forgotten resort deep in the west virginia hills. hobb spring is be look after under the watch care of jackson and sally, a social awkward coupl who introduc danni to the long lost famili he' never known. a clan by the name of hillicker. but soon danni learn hi rel have a differ way of living, that for generations, the hillick have observ ancient tradit root in cannib and other taboo rituals. horror"
1168,Ben 10 Alien Swarm,ben and a mysteri girl from hi past must prevent an alien threat from destroy the world. adventur
1169,The Monkey King,"sun wukong is a monkey born from a heavenli stone who acquir supernatur powers. after rebel against heaven and be imprison under a mountain for 500 years, he later accompani the monk xuanzang on a journey to india. thus, accord to legend, buddhism is brought to ancient china. action adventur famili"
1170,Scooby-Doo! and the Reluctant Werewolf,"shaggi is turn into a werewolf, and it' up to scooby, scrappi and shaggy' girlfriend to help him win a race against other monsters, and becom human again. anim comedi famili mysteri tvmovi"
1171,Halo Legends,the univers of the halo video game seri is expand in seven short anim film from japan' greatest anim director and studios. anim war drama
1172,1917,"at the height of the first world war, two young british soldier must cross enemi territori and deliv a messag that will stop a deadli attack on hundr of soldiers. war drama action thriller"
1173,Dragonheart: Vengeance,"lukas, a young farmer whose famili is kill by savag raider in the countryside, set out on an epic quest for revenge, form an unlik trio with a majest dragon and a swashbuckling, sword-fight mercenary, darius. fantasi action adventur"
1174,Kakegurui: The Movie,"hyakkaou privat academy. an institut for the privileg with a veri peculiar curriculum. you see, when you'r the son and daughter of the wealthiest of the wealthy, it' not athlet prowess or book smart that keep you ahead. it' read your opponent, the art of the deal. what better way to hone those skill than with a rigor curriculum of gambling? at hyakkaou privat academy, the winner live like kings, and the loser are put through the wringer. but when yumeko jabami enrolls, she' gonna teach these kid what a high roller realli look like! drama mysteri thriller"
1175,Barbie and the Diamond Castle,"liana and alexa (barbi and teresa) are best friend who share everything, includ their love of singing. one day while walk through the forest home from the village, the girl meet an old beggar who give them a magic mirror. as they clean the mirror and sing, a music apprentic muse name melodi appear in the mirror' surface, and tell the girl about the secret of the diamond castle. anim famili"
1176,The Lego Movie 2: The Second Part,"it' been five year sinc everyth wa awesom and the citizen are face a huge new threat: lego duploâ® invad from outer space, wreck everyth faster than they can rebuild. action adventur anim comedi famili"
1177,Nothing to Lose,"author biopic of brazilian evangel bishop edir macedo, founder of the univers church of the kingdom of god and owner of record tv network. base on a book trilog of the same name, the movi tell the stori of the self-mad man who face sever moment of turbul while pursu hi conviction. drama histori"
1178,A Tale of Two Sisters,"a recent releas patient from a mental institut return home with her sister, onli to face disturb event between her stepmoth and the ghost haunt their house- all of which are connect to a dark past in the family' history. drama horror mysteri"
1179,Flavors of Youth,"the rigor citi life of china, while bustl and unforgiving, contain the everlast memori of day past. three stori told in three differ cities, follow the loss of youth and the daunt realiz of adulthood. though realiti may seem ever changing, unchang are the short-liv moment of one' childhood days. a plenti bowl of noodles, the beauti of famili and the trial of first love endur the inevit flow of time, as three differ charact explor the strength of bond and the warmth of cherish memories. within the disord of the present world, wit these quaint stori recogn the comfort of the past, and attempt to reviv the neglect flavor of youth. anim romanc drama"
1180,Indiana Jones and the Last Crusade,"when dr. henri jone sr. suddenli goe miss while pursu the holi grail, emin archaeologist indiana must team up with marcu brody, sallah and elsa schneider to follow in hi father' footstep and stop the nazi from recov the power of etern life. adventur action"
1181,Cranston Academy: Monster Zone,an intellig 15-year-old high school student is unexpectedli transfer to a board school where he open a portal of monster from anoth dimension. adventur sciencefict anim fantasi horror
1182,Courageous,"law enforc offic adam mitchell, nathan hayes, and their partner stand up to the worst the street have to offer with confid and focus. yet at the end of the day, they face a challeng that none of them are truli prepar to tackle: fatherhood. they know that god desir to turn the heart of father to their children, but their children are begin to drift further and further away from them. when tragedi hit home, these men are left wrestl with their hopes, their fears, their faith, and their fathering. can a newfound urgenc help these dad draw closer to god... and to their children? drama"
1183,The Host,"follow the dump of gallon of toxic wast in the river, a giant mutat squid-lik creatur appear and begin attack the populace. gang-du' daughter hyun-seo is snatch up by the creature; with hi famili to assist him, he set off to find her. horror drama sciencefict"
1184,The Da Vinci Code,"a murder in parisâ€™ louvr museum and cryptic clue in some of leonardo da vinciâ€™ most famou paint lead to the discoveri of a religi mystery. for 2,000 year a secret societi close guard inform that â€” should it come to light â€” could rock the veri foundat of christianity. thriller mysteri"
1185,The Garden of Words,"takao, who is train to becom a shoemaker, skip school and is sketch shoe in a japanese-styl garden. he meet a mysteri woman, yukino, who is older than him. then, without arrang the times, the two start to see each other again and again, but onli on raini days. they deepen their relationship and open up to each other. but the end of the raini season soon approaches... anim drama romanc"
1186,Boss Level,"a former special forc agent is trap in a time loop and reliv hi death over and over again. to escap the terribl situation, he must track down those respons and stop them. action sciencefict thriller"
1187,Ong Bak 2,moment from death a young man is rescu by a renown warrior. realiz unsurpass physic potenti in the young boy he train him into the most danger man alive. as he becom a young man he goe on a lone mission of vengeanc against the viciou slave trader who enslav him as a youth and the treacher warlord who kill hi father. adventur action thriller
1188,Leprechaun: Back 2 tha Hood,"when emili woodrow and her friend happen on a treasur chest full of gold coins, they fail to to heed the warn of a wise old psychic who had foretold that they would encount troubl with a veri nasti and protect leprechaun. horror comedi"
1189,The Grudge,"an american nurs live and work in tokyo is expos to a mysteri supernatur curse, one that lock a person in a power rage befor claim their life and spread to anoth victim. horror mysteri thriller"
1190,Aliens,"when ripley' lifepod is found by a salvag crew over 50 year later, she find that terra-form are on the veri planet they found the alien species. when the compani send a famili of colonist out to investig her storyâ€”al contact is lost with the planet and colonists. they enlist ripley and the coloni marin to return and search for answers. action thriller sciencefict"
1191,The Boy Who Killed My Parents,"base on one of the most shock and gruesom murder case in brazil, the film present de suzan von richthofen' point of view of the event that led to the death of her parents. crime drama thriller"
1192,Crawl,"when a huge hurrican hit her hometown in florida, haley ignor evacu order to look for her father. after find him badli wounded, both are trap by the flood. with virtual no time to escap the storm, they discov that rise water level are the least of their problems. thriller horror action"
1193,Planet of the Apes,"after a spectacular crash-land on an unchart planet, brash astronaut leo davidson find himself trap in a savag world where talk ape domin the human race. desper to find a way home, leo must evad the invinc gorilla armi led by ruthless gener thade. thriller sciencefict action adventur"
1194,Dark Shadows,vampir barnaba collin is inadvert freed from hi tomb and emerg into the veri chang world of 1972. he return to collinwood manor to find that hi once-grand estat and famili have fallen into ruin. comedi fantasi
1195,Pleasure,"20-year-old bella cherri leav her small town in sweden and head for lo angel with the aim of becom the world' next big porn star, but the road to her goal turn out to be bumpier than she imagined. drama"
1196,The Legend of Siren XXX,"in a rural port town, kenji ishikawa run a barber shop togeth with hi new wife, who speak veri littl and ha mysteri eye to match her amor presence. run the shop isnâ€™t easi as hardli ani custom comeâ€¦ one evening, a man come to the shop, as if lure by the faint hum of the wife. as the man take a seat, kenji exit hi shop. the wife then gentli finger the manâ€™ neckâ€¦ horror"
1197,Self/less,an extrem wealthi elderli man die from cancer undergo a radic medic procedur that transfer hi conscious to the bodi of a healthi young man but everyth may not be as good as it seem when he start to uncov the mysteri of the body' origin and the secret organ that will kill to keep it secrets. sciencefict mysteri thriller
1198,The Transporter Refueled,"the fast-pac action movi is again set in the crimin underworld in france, where frank martin is known as the transporter, becaus he is the best driver and mercenari money can buy. in thi installment, he meet anna and they attempt to take down a group of ruthless russian human traffick who also have kidnap frankâ€™ father. action thriller crime"
1199,Red Sparrow,"prima ballerina, dominika egorova face a bleak and uncertain futur after she suffer an injuri that end her career. she soon turn to sparrow school, a secret intellig servic that train except young peopl to use their mind and bodi as weapons. dominika emerg as the most danger sparrow after complet the sadist train process. as she come to term with her new abilities, she meet a cia agent who tri to convinc her that he is the onli person she can trust. mysteri thriller"
1200,Friday the 13th Part 2,"five year after the horribl bloodbath at camp crystal lake, it seem jason voorhe and hi dement mother are in the past. paul open up a new camp close to the infam site, ignor warn to stay away, and a sexually-charg group of counselor follow -- includ child psychologist major ginny. but jason ha been hide out all thi time, and now he' readi for revenge. horror thriller"
1201,The Dark Tower,a boy haunt by vision of a parallel world aid it disillus guardian in prevent the destruct of the nexu of univers known as the dark tower. fantasi action sciencefict adventur
1202,Goodbye World,"when a mysteri cyber-attack crippl civilization, a group of old colleg friend and lover retreat to a remot countri cabin, where they must cope with an uncertain futur while navig the minefield of their share past. drama comedi"
1203,Allegiant,beatric prior and tobia eaton ventur into the world outsid of the fenc and are taken into protect custodi by a mysteri agenc known as the bureau of genet welfare. adventur sciencefict action mysteri
1204,The Good Doctor,"dr. martin blake, who ha spent hi life look for respect, meet an 18-year-old patient name diane, suffer from a kidney infection, and get a much-need boost of self-esteem. however, when her health start improving, martin fear lose her, so he begin tamper with her treatment, keep dian sick and in the hospit right next to him. drama thriller mysteri"
1205,Turbo: A Power Rangers Movie,"the legendari power ranger must stop the evil space pirat divatox from releas the power maligor from hi volcan imprison on the island of muranthias, where onli the kindli wizard lerigot ha the key to releas him. the hope of victori lie in the ranger' incred new turbo power and power turbo zords. action adventur famili fantasi sciencefict thriller"
1206,The Son of Bigfoot,"teenag outsid adam set out on an epic and dare quest to uncov the mysteri behind hi long-lost dad, onli to find out that he is none other than the legendari bigfoot! he ha been hide deep in the forest for year to protect himself and hi famili from hairco., a giant corpor eager to run scientif experi with hi special dna. as father and son start make up for lost time after the boy' initi disbelief, adam soon discov that he too is gift with superpow beyond hi imagination. but littl do they know, hairco. is on their tail as adam' trace have led them to bigfoot! famili anim comedi"
1207,Never Back Down,"jake, full of anger after hi father' death, is just start to find a place for himself at hi new orlando high school - until ryan, head of an underground mma fight club, pick jake out as a prime opponent. after be trounc by ryan in front of the entir school, jake begin train under the firm, moral guidanc of a mma master, where he learn how to fight... and how to avoid a fight. but it becom obviou that a rematch will be inevit if jake want to stop ryan and hi bullying, onc and for all. drama action"
1208,Jigsaw,"dead bodi begin to turn up all over the city, each meet their demis in a varieti of grisli ways. all investig begin to point the finger at deceas killer john kramer. horror crime mysteri thriller"
1209,50 Greatest Harry Potter Moments,"to mark the releas two week ago of the eighth and final movi in the series, robbi coltran narrat a countdown of the movi franchise' best moments. from harry' first meet with ron and hermion aboard the hogwart express through to magic mysteries. documentari"
1210,Cashback,"ben is an art colleg student in london, whose imagin run wild as he work the late-night shift at the local supermarket. what do he and hi colleagu do to pass the long, endless hour of the night? drama comedi"
1211,The Intruder,"inã© work as a dub actress and sing in a choir in bueno aires. while on an idyl trip she suffer a traumat episod that she canâ€™t recov from. she ha troubl sleep and experi veri vivid nightmar as strang sound begin to emerg from insid her. awake, inã© feel suddenli surround by peopl that seem to come from her dreams. thriller"
1212,"Yes, God, Yes","alice, a young innoc cathol girl, is tempt into masturb after an aol chat suddenli turn sexual, howev is conflict as the act would be consid a sin. comedi drama"
1213,If I Stay,"mia hall, a talent young cellist, thought the most difficult decis she would ever have to make would be whether to pursu her music dream at prestigi juilliard or follow her heart to be with the love of her life, adam, a rock singer/guitarist. however, a car wreck chang everyth in an instant, and now mia' life hang in the balance. suspend between life and death, mia face a choic that will decid her future. drama"
1214,War of the Arrows,"13 year after the king injo revolt, the chosun dynasti is attack by the chung dynasti of china. a young man name na-mi leav hi demolish villag to find hi young sister, ja-in, and her financ su-koon, who were to wed on the veri day of the attack. while on hi mission to rescu her, he is be trace by jushinta, a fierc chung warrior, and hi band of malici men who are out to stop him. na-mi ha but a day to rescu hi sister befor she is taken away to be a slave. when na-mi final find hi sister, jushinta come between them and a fierc battl between two of the finest warrior unfolds. drama action histori thriller"
1215,Garfield: A Tail of Two Kitties,"jon and garfield visit the unit kingdom, where a case of mistaken cat ident find garfield rule over a castle. hi reign is soon jeopard by the nefari lord dargis, who ha design on the estate. comedi famili adventur anim"
1216,Ghostbusters II,"five year after they defeat gozer, the ghostbust are out of business. when dana begin to have ghost problem again, the boy come out of retir to aid her and hope save new york citi from a new paranorm threat. comedi fantasi"
1217,Chicken Little,"when the sky realli is fall and saniti ha flown the coop, who will rise to save the day? togeth with hi hyster band of misfit friends, chicken littl must hatch a plan to save the planet from alien invas and prove that the world' biggest hero is a littl chicken. anim famili comedi"
1218,Die Hard 2,"off-duti cop john mcclane is grip with a feel of dã©jã vu when, on a snowi christma eve in the nationâ€™ capital, terrorist seiz a major intern airport, hold thousand of holiday travel hostage. renegad militari commando led by a murder rogu offic plot to rescu a drug lord from justic and are prepar for everi conting except one: mcclaneâ€™ smart-mouth heroics. action thriller"
1219,Dunkirk,"the stori of the miracul evacu of alli soldier from belgium, britain, canada and france, who were cut off and surround by the german armi from the beach and harbour of dunkirk between may 26th and june 4th 1940 dure world war ii. war action drama"
1220,Raiders of the Lost Ark,"when dr. indiana jone â€“ the tweed-suit professor who just happen to be a celebr archaeologist â€“ is hire by the govern to locat the legendari ark of the covenant, he find himself up against the entir nazi regime. adventur action"
1221,Deepwater Horizon,"a stori set on the offshor drill rig deepwat horizon, which explod dure april 2010 and creat the worst oil spill in u.s. history. drama action"
1222,Steven Universe: The Movie,"two year after bring peac to the galaxy, steven univers see hi past come back to haunt him in the form of a derang gem who want to destroy the earth. anim famili fantasi music tvmovi sciencefict"
1223,The Blair Witch Project,"in octob of 1994 three student filmmak disappear in the wood near burkittsville, maryland, while shoot a documentary. a year later their footag wa found. horror mysteri"
1224,Hostel,"three backpack head to a slovakian citi that promis to meet their hedonist expectations, with no idea of the hell that await them. horror"
1225,Where the Wild Things Are,"max imagin run away from hi mom and sail to a far-off land where larg talk beastsâ€”ira, carol, douglas, the bull, judith and alexanderâ€”crown him as their king, play rumpus, build fort and discov secret hideaways. famili fantasi sciencefict drama"
1226,Inferno,"after wake up in a hospit with amnesia, professor robert langdon and a doctor must race against time to foil a deadli global plot. mysteri thriller drama action"
1227,Paranormal Activity: The Marked Ones,"seventeen-year-old jess ha been hear terrifi sound come from hi neighborâ€™ apartment, but when he turn on hi camera and set out to uncov their source, he encount an ancient evil that wonâ€™t rest until itâ€™ claim hi veri soul. horror thriller"
1228,Dawn of the Dead,"a group of survivor take refug in a shop mall after the world is taken over by aggressive, flesh-eat zombies. action horror"
1229,Grease,"australian good girl sandi and greaser danni fell in love over the summer. but when they unexpectedli discov they'r now in the same high school, will they be abl to rekindl their romanc despit their eccentr friends? romanc comedi"
1230,It Boy,"alic lantin is 38, ambiti and so commit to her work that she neglect her person life. in short, she is the ideal candid for the next editor of the magazin rebelle, or would be were it not for the fact that she appear to be stuck in a rut. when balthazar, a charm 20-year-old, cross her path, her colleagu begin to see her in a whole new light... comedi"
1231,Jesus,"three and a half year of jesus' ministry, as told in the gospel of luke. drama histori"
1232,Kuroko no Basket Movie 3: Winter Cup Soushuuhen - Tobira no Mukou,the third of three kuroko no basket compil films. anim
